pl_name,hostname,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,Radial Velocity,2007,0,323.21,0.06,-0.05,0,12.2,,,0,93.1846,1.9238,-1.9238
11 UMi b,11 UMi,Radial Velocity,2009,0,516.21997,3.2,-3.2,0,12.3,,,0,125.321,1.9765,-1.9765
14 And b,14 And,Radial Velocity,2008,0,186.76,0.11,-0.12,0,13.1,,,0,75.4392,0.714,-0.714
14 Her b,14 Her,Radial Velocity,2002,0,1766.41,0.67,-0.68,0,12.5,,,0,17.9323,0.0073,-0.0073
16 Cyg B b,16 Cyg B,Radial Velocity,1996,0,798.5,1,-1,0,13.5,,,0,21.1397,0.011,-0.0111
17 Sco b,17 Sco,Radial Velocity,2020,0,578.38,2.01,-2.09,0,12.9,,,0,124.953,2.59,-2.59
18 Del b,18 Del,Radial Velocity,2008,0,982.85,1.06,-0.92,0,12.5,,,0,76.222,0.6217,-0.6217
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,0,,,,,18.647,,,0,139.135,1.332,-1.307
24 Boo b,24 Boo,Radial Velocity,2018,0,30.33,0,-0.01,0,13.9,,,0,95.9863,0.63685,-0.63685
24 Sex b,24 Sex,Radial Velocity,2010,0,452.8,2.1,-4.5,0,13.4,,,0,72.0691,0.6854,-0.6728
24 Sex c,24 Sex,Radial Velocity,2010,0,883,32.4,-13.8,0,13.9,,,0,72.0691,0.6854,-0.6728
2M0437 b,2MASS J04372171+2651014,Imaging,2021,0,,,,,13,,,0,128.484,1.196,-1.174
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,0,,,,,12.3,,,0,47.2,3.1,-3.1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,0,,,,,11.209,,,0,33.8281,0.0864,-0.086
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,0,,,,,16.14096,0.33627,-0.33627,0,40.08964117,0.19404958,-0.19404958
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,0,,,,,17.37392009,0.33626942,-0.33626942,0,66.0613,0.4543,-0.4482
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,0,,,,,12.2,,,0,117.435,2.32,-2.233
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,0,,,,,12.6,,,0,120.423987,5.4783417,-5.4783417
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024,0,,,,,11.9,,,0,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,0,,,,,12.1,,,0,100.862,0.603,-0.596
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,0,,,,,15.69257298,0.33626942,-0.44835923,0,64.308,0.6569,-0.644
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,0,406,4,-4,0,13.4,,,0,396.332,6.3885,-6.3885
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,0,,,,,12.4,,,0,34.1154,0.0811,-0.0807
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,0,,,,,12.3,,,0,69.5737,0.1592,-0.1585
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018,0,,,,,11.9,,,0,57.2309,0.1437,-0.1429
4 UMa b,4 UMa,Radial Velocity,2006,0,270.27,0.24,-0.09,0,12.6,,,0,73.4603,1.18605,-1.18605
47 UMa b,47 UMa,Radial Velocity,1996,0,1078,2,-2,0,13.2,,,0,13.7967,0.0289,-0.0289
47 UMa c,47 UMa,Radial Velocity,2001,0,2391,100,-87,0,14.2,,,0,13.7967,0.0289,-0.0289
47 UMa d,47 UMa,Radial Velocity,2009,0,14002,4018,-5095,0,13.5,,,0,13.7967,0.0289,-0.0289
51 Eri b,51 Eri,Imaging,2015,0,9100,1100,-1500,0,,,,,29.7575,0.1213,-0.1203
51 Peg b,51 Peg,Radial Velocity,1995,0,4.2307966,0.0000027,-0.0000027,0,14.1,,,0,15.4614,0.0297,-0.0297
55 Cnc B b,55 Cnc B,Radial Velocity,2025,0,6.7994,0.0013,-0.0014,0,1.69,,,0,12.4773,0.0171,-0.0171
55 Cnc B c,55 Cnc B,Radial Velocity,2025,0,33.747,0.035,-0.035,0,2.16,,,0,12.4773,0.0171,-0.0171
55 Cnc b,55 Cnc,Radial Velocity,1996,0,14.651552,0.000036,-0.000036,0,13.9,,,0,12.5855,0.0124,-0.0123
55 Cnc c,55 Cnc,Radial Velocity,2004,0,44.3936,0.0024,-0.0024,0,8.51,,,0,12.5855,0.0124,-0.0123
55 Cnc d,55 Cnc,Radial Velocity,2002,0,4799,4.9,-15,0,13,,,0,12.5855,0.0124,-0.0123
55 Cnc e,55 Cnc,Radial Velocity,2004,0,0.7365474,0.0000013,-0.0000014,0,1.875,0.029,-0.029,0,12.5855,0.0124,-0.0123
55 Cnc f,55 Cnc,Radial Velocity,2007,0,260.58,0.15,-0.15,0,7.59,,,0,12.5855,0.0124,-0.0123
6 Lyn b,6 Lyn,Radial Velocity,2008,0,919.86,1.92,-3.71,0,13.4,,,0,54.6599,0.2734,-0.2734
61 Vir b,61 Vir,Radial Velocity,2009,0,4.215,0.0006,-0.0006,0,2.11,,,0,8.50332,0.01737,-0.0173
61 Vir c,61 Vir,Radial Velocity,2009,0,38.021,0.034,-0.034,0,4.46,,,0,8.50332,0.01737,-0.0173
61 Vir d,61 Vir,Radial Velocity,2009,0,123.01,0.55,-0.55,0,5.11,,,0,8.50332,0.01737,-0.0173
7 CMa b,7 CMa,Radial Velocity,2011,0,735.1,14.8,-1,0,13.4,,,0,19.8101,0.1648,-0.1648
7 CMa c,7 CMa,Radial Velocity,2019,0,996,1.5,-52.4,0,13.9,,,0,19.8101,0.1648,-0.1648
70 Vir b,70 Vir,Radial Velocity,1996,0,116.688,0.0054,-0.0054,0,12.6,,,0,17.9011,0.056,-0.0557
75 Cet b,75 Cet,Radial Velocity,2012,0,696.62,1.33,-1.69,0,13.3,,,0,82.9613,0.72365,-0.72365
75 Cet c,75 Cet,Radial Velocity,2023,0,2051.62,45.98,-40.47,0,13.9,,,0,82.9613,0.72365,-0.72365
8 UMi b,8 UMi,Radial Velocity,2015,0,93.31,0.06,-0.06,0,13.5,,,0,162.552,0.651,-0.646
81 Cet b,81 Cet,Radial Velocity,2008,0,1005.57,1.84,-1.94,0,13.1,,,0,101.26,1.222,-1.222
